pig_number	Group	day	pen	room	experiment	tissue	treatment	Sow	birth_room	DOB	Sex	initial_weight	Necropsy.day	Pen	set	shannon
29	11	X1P11N2AFD4	4	2A	2	X1	Feces	inject	1211	2	1/30/2013	F	4.6	4	2A	D4_Feces_inject	3.28236280013594
30	12	X1P12N2BCD4	4	2B	2	X1	Colon	inject	1207	2	1/28/2016	F	7.8	4	2B	D4_Colon_inject	3.87975513826127
31	12	X1P12N2BFD0	0	2B	2	X1	Feces	inject	1207	2	1/28/2016	F	7.8	4	2B	D0_Feces_inject	4.29350762018189
32	12	X1P12N2BFD4	4	2B	2	X1	Feces	inject	1207	2	1/28/2016	F	7.8	4	2B	D4_Feces_inject	4.13378896916624
33	13	X1P13N2BCD4	4	2B	2	X1	Colon	inject	1212	3	1/31/2016	F	5	4	2B	D4_Colon_inject	3.715976338572
34	13	X1P13N2BFD0	0	2B	2	X1	Feces	inject	1212	3	1/31/2016	F	5	4	2B	D0_Feces_inject	4.0111490809752
35	13	X1P13N2BFD4	4	2B	2	X1	Feces	inject	1212	3	1/31/2016	F	5	4	2B	D4_Feces_inject	3.60170333490756
36	14	X1P14N2BCD4	4	2B	2	X1	Colon	inject	1209	3	1/30/2016	F	4.3	4	2B	D4_Colon_inject	4.01190487059827
37	14	X1P14N2BFD0	0	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	4.3	4	2B	D0_Feces_inject	3.85075640482399
38	14	X1P14N2BFD4	4	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	4.3	4	2B	D4_Feces_inject	3.97566476164456
39	15	X1P15N3ACD4	4	3A	3	X1	Colon	oral	1215	4	1/27/2016	F	6.1	4	3A	D4_Colon_oral	3.08665635767849
40	15	X1P15N3AFD0	0	3A	3	X1	Feces	oral	1215	4	1/27/2016	F	6.1	4	3A	D0_Feces_oral	4.10601348609773
41	15	X1P15N3AFD4	4	3A	3	X1	Feces	oral	1215	4	1/27/2016	F	6.1	4	3A	D4_Feces_oral	3.21905788687955
42	16	X1P16N3ACD4	4	3A	3	X1	Colon	oral	1214	4	1/30/2016	F	3.2	4	3A	D4_Colon_oral	3.35872445107135
43	16	X1P16N3AFD0	0	3A	3	X1	Feces	oral	1214	4	1/30/2016	F	3.2	4	3A	D0_Feces_oral	3.75254333119493
44	16	X1P16N3AFD4	4	3A	3	X1	Feces	oral	1214	4	1/30/2016	F	3.2	4	3A	D4_Feces_oral	3.89529375252706
45	17	X1P17N3ACD4	4	3A	3	X1	Colon	oral	1210	5	1/27/2016	M	3.4	4	3A	D4_Colon_oral	3.69559576510244
46	17	X1P17N3AFD0	0	3A	3	X1	Feces	oral	1210	5	1/27/2016	M	3.4	4	3A	D0_Feces_oral	3.56640729364917
47	17	X1P17N3AFD4	4	3A	3	X1	Feces	oral	1210	5	1/27/2016	M	3.4	4	3A	D4_Feces_oral	3.86306124558178
48	18	X1P18N3ACD4	4	3A	3	X1	Colon	oral	1213	5	1/29/2016	M	4.7	4	3A	D4_Colon_oral	3.89340291594825
49	18	X1P18N3AFD0	0	3A	3	X1	Feces	oral	1213	5	1/29/2016	M	4.7	4	3A	D0_Feces_oral	3.52793169199851
50	18	X1P18N3AFD4	4	3A	3	X1	Feces	oral	1213	5	1/29/2016	M	4.7	4	3A	D4_Feces_oral	4.07610946339002
51	19	X1P19N3BFD4	4	3B	3	X1	Feces	oral	1208	1	1/29/2016	F	5	4	3B	D4_Feces_oral	3.99137527749323
52	20	X1P20N3BCD4	4	3B	3	X1	Colon	oral	1211	2	1/30/2013	M	4.5	4	3B	D4_Colon_oral	3.93588735042272
53	20	X1P20N3BFD0	0	3B	3	X1	Feces	oral	1211	2	1/30/2013	M	4.5	4	3B	D0_Feces_oral	4.09728048394571
54	21	X1P21N3BCD4	4	3B	3	X1	Colon	oral	1207	2	1/28/2016	M	7.6	4	3B	D4_Colon_oral	3.51773260905533
55	21	X1P21N3BFD0	0	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	7.6	4	3B	D0_Feces_oral	3.85342576226113
56	21	X1P21N3BFD4	4	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	7.6	4	3B	D4_Feces_oral	3.95236900135086
57	22	X1P22N1ACD7	7	1A	1	X1	Colon	control	1212	3	1/31/2016	M	5.6	7	1A	D7_Colon_control	2.95489238932488
58	22	X1P22N1AFD0	0	1A	1	X1	Feces	control	1212	3	1/31/2016	M	5.6	7	1A	D0_Feces_control	3.92113827206509
59	22	X1P22N1AFD4	4	1A	1	X1	Feces	control	1212	3	1/31/2016	M	5.6	7	1A	D4_Feces_control	3.69599551522724
60	22	X1P22N1AFD7	7	1A	1	X1	Feces	control	1212	3	1/31/2016	M	5.6	7	1A	D7_Feces_control	3.62107260432834
61	23	X1P23N1ACD7	7	1A	1	X1	Colon	control	1209	3	1/30/2016	F	7.1	7	1A	D7_Colon_control	4.10255165183591
62	23	X1P23N1AFD0	0	1A	1	X1	Feces	control	1209	3	1/30/2016	F	7.1	7	1A	D0_Feces_control	3.94231532661703
63	23	X1P23N1AFD4	4	1A	1	X1	Feces	control	1209	3	1/30/2016	F	7.1	7	1A	D4_Feces_control	4.25583954659983
64	23	X1P23N1AFD7	7	1A	1	X1	Feces	control	1209	3	1/30/2016	F	7.1	7	1A	D7_Feces_control	4.0319287317212
65	24	X1P24N1ACD7	7	1A	1	X1	Colon	control	1215	4	1/27/2016	M	6.6	7	1A	D7_Colon_control	2.79620415168507
66	24	X1P24N1AFD0	0	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.6	7	1A	D0_Feces_control	3.9037167899036
67	24	X1P24N1AFD4	4	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.6	7	1A	D4_Feces_control	3.23346484632002
68	24	X1P24N1AFD7	7	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.6	7	1A	D7_Feces_control	3.24407128229653
69	25	X1P25N1BCD7	7	1B	1	X1	Colon	control	1214	4	1/30/2016	M	5.3	7	1B	D7_Colon_control	3.65844441221004
70	25	X1P25N1BFD0	0	1B	1	X1	Feces	control	1214	4	1/30/2016	M	5.3	7	1B	D0_Feces_control	3.57358218604367
71	25	X1P25N1BFD4	4	1B	1	X1	Feces	control	1214	4	1/30/2016	M	5.3	7	1B	D4_Feces_control	3.83335456246655
72	25	X1P25N1BFD7	7	1B	1	X1	Feces	control	1214	4	1/30/2016	M	5.3	7	1B	D7_Feces_control	3.92810245592575
73	26	X1P26N1BFD0	0	1B	1	X1	Feces	control	1210	5	1/27/2016	F	4.6	7	1B	D0_Feces_control	3.71902984808699
74	26	X1P26N1BFD4	4	1B	1	X1	Feces	control	1210	5	1/27/2016	F	4.6	7	1B	D4_Feces_control	3.86184293208442
75	26	X1P26N1BFD7	7	1B	1	X1	Feces	control	1210	5	1/27/2016	F	4.6	7	1B	D7_Feces_control	3.98956698167532
76	27	X1P27N1BCD7	7	1B	1	X1	Colon	control	1213	5	1/29/2016	M	4.6	7	1B	D7_Colon_control	3.64027057559863
77	27	X1P27N1BFD4	4	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.6	7	1B	D4_Feces_control	3.69222939333794
78	27	X1P27N1BFD7	7	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.6	7	1B	D7_Feces_control	3.55813081759735
79	28	X1P28N1BCD7	7	1B	1	X1	Colon	control	1211	2	1/30/2013	F	3.6	7	1B	D7_Colon_control	3.25816421817129
80	28	X1P28N1BFD0	0	1B	1	X1	Feces	control	1211	2	1/30/2013	F	3.6	7	1B	D0_Feces_control	3.79591692687023
81	28	X1P28N1BFD4	4	1B	1	X1	Feces	control	1211	2	1/30/2013	F	3.6	7	1B	D4_Feces_control	3.43234454972867
82	28	X1P28N1BFD7	7	1B	1	X1	Feces	control	1211	2	1/30/2013	F	3.6	7	1B	D7_Feces_control	3.8351998413749
83	29	X1P29N2ACD7	7	2A	2	X1	Colon	inject	1212	3	1/31/2016	F	5.6	7	2A	D7_Colon_inject	3.57028647784245
84	29	X1P29N2AFD0	0	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.6	7	2A	D0_Feces_inject	4.10709711992197
85	29	X1P29N2AFD4	4	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.6	7	2A	D4_Feces_inject	4.05740112800801
86	29	X1P29N2AFD7	7	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.6	7	2A	D7_Feces_inject	3.93872110261464
87	30	X1P30N2ACD7	7	2A	2	X1	Colon	inject	1214	4	1/30/2016	M	4.6	7	2A	D7_Colon_inject	2.93646039631875
88	30	X1P30N2AFD0	0	2A	2	X1	Feces	inject	1214	4	1/30/2016	M	4.6	7	2A	D0_Feces_inject	3.45898469246416
89	30	X1P30N2AFD4	4	2A	2	X1	Feces	inject	1214	4	1/30/2016	M	4.6	7	2A	D4_Feces_inject	4.16716400173904
90	30	X1P30N2AFD7	7	2A	2	X1	Feces	inject	1214	4	1/30/2016	M	4.6	7	2A	D7_Feces_inject	3.96833651147379
91	31	X1P31N2ACD7	7	2A	2	X1	Colon	inject	1210	5	1/27/2016	F	3.3	7	2A	D7_Colon_inject	4.20970187325981
92	31	X1P31N2AFD0	0	2A	2	X1	Feces	inject	1210	5	1/27/2016	F	3.3	7	2A	D0_Feces_inject	4.05722544412128
93	31	X1P31N2AFD4	4	2A	2	X1	Feces	inject	1210	5	1/27/2016	F	3.3	7	2A	D4_Feces_inject	3.82748496844025
94	31	X1P31N2AFD7	7	2A	2	X1	Feces	inject	1210	5	1/27/2016	F	3.3	7	2A	D7_Feces_inject	4.18792415497781
95	32	X1P32N2BCD7	7	2B	2	X1	Colon	inject	1213	5	1/29/2016	F	5	7	2B	D7_Colon_inject	3.36602428093559
96	32	X1P32N2BFD0	0	2B	2	X1	Feces	inject	1213	5	1/29/2016	F	5	7	2B	D0_Feces_inject	4.09759824562649
97	32	X1P32N2BFD4	4	2B	2	X1	Feces	inject	1213	5	1/29/2016	F	5	7	2B	D4_Feces_inject	4.26702288767649
98	32	X1P32N2BFD7	7	2B	2	X1	Feces	inject	1213	5	1/29/2016	F	5	7	2B	D7_Feces_inject	3.75149972053899
99	33	X1P33N2BCD7	7	2B	2	X1	Colon	inject	1208	1	1/29/2016	F	6.7	7	2B	D7_Colon_inject	3.86753974710893
100	33	X1P33N2BFD0	0	2B	2	X1	Feces	inject	1208	1	1/29/2016	F	6.7	7	2B	D0_Feces_inject	3.84612506150254
101	33	X1P33N2BFD4	4	2B	2	X1	Feces	inject	1208	1	1/29/2016	F	6.7	7	2B	D4_Feces_inject	3.61989628957433
102	33	X1P33N2BFD7	7	2B	2	X1	Feces	inject	1208	1	1/29/2016	F	6.7	7	2B	D7_Feces_inject	3.66503972120668
103	34	X1P34N2BCD7	7	2B	2	X1	Colon	inject	1207	2	1/28/2016	M	7.5	7	2B	D7_Colon_inject	3.74867863704932
104	34	X1P34N2BFD0	0	2B	2	X1	Feces	inject	1207	2	1/28/2016	M	7.5	7	2B	D0_Feces_inject	4.30870383305823
105	34	X1P34N2BFD4	4	2B	2	X1	Feces	inject	1207	2	1/28/2016	M	7.5	7	2B	D4_Feces_inject	4.27266185718551
106	34	X1P34N2BFD7	7	2B	2	X1	Feces	inject	1207	2	1/28/2016	M	7.5	7	2B	D7_Feces_inject	4.49208864678717
107	35	X1P35N2BCD7	7	2B	2	X1	Colon	inject	1209	3	1/30/2016	F	6.5	7	2B	D7_Colon_inject	4.02542245579165
108	35	X1P35N2BFD4	4	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	6.5	7	2B	D4_Feces_inject	4.08313149990372
109	35	X1P35N2BFD7	7	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	6.5	7	2B	D7_Feces_inject	4.45527384118401
110	36	X1P36N3ACD7	7	3A	3	X1	Colon	oral	1215	4	1/27/2016	M	6.2	7	3A	D7_Colon_oral	2.37439525552477
111	36	X1P36N3AFD0	0	3A	3	X1	Feces	oral	1215	4	1/27/2016	M	6.2	7	3A	D0_Feces_oral	4.35876883211427
112	36	X1P36N3AFD4	4	3A	3	X1	Feces	oral	1215	4	1/27/2016	M	6.2	7	3A	D4_Feces_oral	4.03974270444831
113	36	X1P36N3AFD7	7	3A	3	X1	Feces	oral	1215	4	1/27/2016	M	6.2	7	3A	D7_Feces_oral	3.19120980325229
114	37	X1P37N3ACD7	7	3A	3	X1	Colon	oral	1208	1	1/29/2016	M	6.8	7	3A	D7_Colon_oral	3.41142383142814
115	37	X1P37N3AFD0	0	3A	3	X1	Feces	oral	1208	1	1/29/2016	M	6.8	7	3A	D0_Feces_oral	3.93911996263252
116	37	X1P37N3AFD4	4	3A	3	X1	Feces	oral	1208	1	1/29/2016	M	6.8	7	3A	D4_Feces_oral	4.02573293666954
117	37	X1P37N3AFD7	7	3A	3	X1	Feces	oral	1208	1	1/29/2016	M	6.8	7	3A	D7_Feces_oral	3.5286449023554
118	38	X1P38N3ACD7	7	3A	3	X1	Colon	oral	1211	2	1/30/2013	M	4.9	7	3A	D7_Colon_oral	4.41895202936395
119	38	X1P38N3AFD0	0	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	4.9	7	3A	D0_Feces_oral	3.34590972082962
120	38	X1P38N3AFD4	4	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	4.9	7	3A	D4_Feces_oral	4.00672735016787
121	38	X1P38N3AFD7	7	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	4.9	7	3A	D7_Feces_oral	4.43512358379222
122	39	X1P39N3BCD7	7	3B	3	X1	Colon	oral	1207	2	1/28/2016	M	6	7	3B	D7_Colon_oral	3.545087402152
123	39	X1P39N3BFD0	0	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	6	7	3B	D0_Feces_oral	4.36139248143385
124	39	X1P39N3BFD4	4	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	6	7	3B	D4_Feces_oral	4.28692664254635
125	39	X1P39N3BFD7	7	3B	3	X1	Feces	oral	1207	2	1/28/2016	M	6	7	3B	D7_Feces_oral	3.9268539189219
126	40	X1P40N3BCD7	7	3B	3	X1	Colon	oral	1212	3	1/31/2016	M	4.3	7	3B	D7_Colon_oral	3.5550995819796
127	40	X1P40N3BFD0	0	3B	3	X1	Feces	oral	1212	3	1/31/2016	M	4.3	7	3B	D0_Feces_oral	3.89764489751943
128	40	X1P40N3BFD4	4	3B	3	X1	Feces	oral	1212	3	1/31/2016	M	4.3	7	3B	D4_Feces_oral	3.5984223877828
129	40	X1P40N3BFD7	7	3B	3	X1	Feces	oral	1212	3	1/31/2016	M	4.3	7	3B	D7_Feces_oral	4.24176096400294
130	41	X1P41N3BCD7	7	3B	3	X1	Colon	oral	1214	4	1/30/2016	M	4.4	7	3B	D7_Colon_oral	3.39254589818587
131	41	X1P41N3BFD0	0	3B	3	X1	Feces	oral	1214	4	1/30/2016	M	4.4	7	3B	D0_Feces_oral	3.85608759117337
132	41	X1P41N3BFD4	4	3B	3	X1	Feces	oral	1214	4	1/30/2016	M	4.4	7	3B	D4_Feces_oral	4.07589719562854
133	41	X1P41N3BFD7	7	3B	3	X1	Feces	oral	1214	4	1/30/2016	M	4.4	7	3B	D7_Feces_oral	4.26625486942825
134	42	X1P42N3BCD7	7	3B	3	X1	Colon	oral	1213	5	1/29/2016	F	5.7	7	3B	D7_Colon_oral	3.51013010160766
135	42	X1P42N3BFD0	0	3B	3	X1	Feces	oral	1213	5	1/29/2016	F	5.7	7	3B	D0_Feces_oral	3.42656111788904
136	42	X1P42N3BFD4	4	3B	3	X1	Feces	oral	1213	5	1/29/2016	F	5.7	7	3B	D4_Feces_oral	3.58592192060387
137	42	X1P42N3BFD7	7	3B	3	X1	Feces	oral	1213	5	1/29/2016	F	5.7	7	3B	D7_Feces_oral	4.2562035402453
138	43	X1P43N1ACD14	14	1A	1	X1	Colon	control	1206	1	1/31/2016	M	2.4	14	1A	D14_Colon_control	3.54404082165003
139	43	X1P43N1AFD11	11	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D11_Feces_control	3.89195852033257
140	43	X1P43N1AFD14	14	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D14_Feces_control	3.39589841871139
141	43	X1P43N1AFD4	4	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D4_Feces_control	3.91008884618478
142	43	X1P43N1AFD7	7	1A	1	X1	Feces	control	1206	1	1/31/2016	M	2.4	14	1A	D7_Feces_control	4.04057735437544
143	44	X1P44N1ACD14	14	1A	1	X1	Colon	control	1212	3	1/31/2016	F	4.5	14	1A	D14_Colon_control	2.93666566999227
144	44	X1P44N1AFD0	0	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D0_Feces_control	4.00056865233906
145	44	X1P44N1AFD11	11	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D11_Feces_control	3.71026919969465
146	44	X1P44N1AFD14	14	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D14_Feces_control	3.38181473836275
147	44	X1P44N1AFD4	4	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D4_Feces_control	3.84507817916933
148	44	X1P44N1AFD7	7	1A	1	X1	Feces	control	1212	3	1/31/2016	F	4.5	14	1A	D7_Feces_control	3.98043822969246
149	45	X1P45N1ACD14	14	1A	1	X1	Colon	control	1209	3	1/30/2016	M	7.8	14	1A	D14_Colon_control	3.80882474600179
150	45	X1P45N1AFD0	0	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D0_Feces_control	4.016554906112
151	45	X1P45N1AFD11	11	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D11_Feces_control	4.49963715016723
152	45	X1P45N1AFD14	14	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D14_Feces_control	3.87839700198528
153	45	X1P45N1AFD4	4	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D4_Feces_control	4.20909369105684
154	45	X1P45N1AFD7	7	1A	1	X1	Feces	control	1209	3	1/30/2016	M	7.8	14	1A	D7_Feces_control	4.54109056181326
155	46	X1P46N1ACD14	14	1A	1	X1	Colon	control	1215	4	1/27/2016	M	6.9	14	1A	D14_Colon_control	3.3625568114043
156	46	X1P46N1AFD0	0	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D0_Feces_control	4.43880242452798
157	46	X1P46N1AFD11	11	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D11_Feces_control	4.35520149017534
158	46	X1P46N1AFD14	14	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D14_Feces_control	3.74299743491209
159	46	X1P46N1AFD4	4	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D4_Feces_control	4.22546482722737
160	46	X1P46N1AFD7	7	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D7_Feces_control	3.15090076628163
161	47	X1P47N1BCD14	14	1B	1	X1	Colon	control	1214	4	1/30/2016	F	4.4	14	1B	D14_Colon_control	3.57505042640192
162	47	X1P47N1BFD0	0	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D0_Feces_control	4.0967548881134
163	47	X1P47N1BFD11	11	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D11_Feces_control	4.0657245599696
164	47	X1P47N1BFD14	14	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D14_Feces_control	3.5869298578414
165	47	X1P47N1BFD4	4	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D4_Feces_control	3.74890186774303
166	47	X1P47N1BFD7	7	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D7_Feces_control	3.72292690272887
167	48	X1P48N1BFD0	0	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D0_Feces_control	3.97253059120535
168	48	X1P48N1BFD11	11	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D11_Feces_control	4.71558475777176
169	48	X1P48N1BFD14	14	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D14_Feces_control	4.52567979687945
170	48	X1P48N1BFD4	4	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D4_Feces_control	4.17638163642342
171	48	X1P48N1BFD7	7	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D7_Feces_control	4.12799619193589
172	49	X1P49N1BCD14	14	1B	1	X1	Colon	control	1213	5	1/29/2016	M	4.9	14	1B	D14_Colon_control	2.50164319887479
173	49	X1P49N1BFD0	0	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D0_Feces_control	3.02375564067342
174	49	X1P49N1BFD11	11	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D11_Feces_control	4.16879470685902
175	49	X1P49N1BFD14	14	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D14_Feces_control	2.97968192288379
176	49	X1P49N1BFD4	4	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D4_Feces_control	4.39164913411994
177	49	X1P49N1BFD7	7	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D7_Feces_control	4.3131281906637
178	50	X1P50N1BCD4	4	1B	1	X1	Colon	control	1211	2	1/30/2016	M	5.1	14	1B	D4_Colon_control	4.39351533928634
179	50	X1P50N1BFD0	0	1B	1	X1	Feces	control	1211	2	1/30/2016	M	5.1	14	1B	D0_Feces_control	4.17004563189661
180	50	X1P50N1BFD4	4	1B	1	X1	Feces	control	1211	2	1/30/2016	M	5.1	14	1B	D4_Feces_control	3.79170522578458
181	51	X1P51N2ACD14	14	2A	2	X1	Colon	inject	1208	1	1/29/2016	F	7.6	14	2A	D14_Colon_inject	2.46573207592657
182	51	X1P51N2AFD11	11	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D11_Feces_inject	3.80570464398628
183	51	X1P51N2AFD14	14	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D14_Feces_inject	2.81335151164226
184	51	X1P51N2AFD4	4	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D4_Feces_inject	3.7983336735064
185	51	X1P51N2AFD7	7	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D7_Feces_inject	3.39437676491535
186	52	X1P52N2ACD14	14	2A	2	X1	Colon	inject	1206	1	1/31/2016	F	3.8	14	2A	D14_Colon_inject	2.92947149863592
187	52	X1P52N2AFD0	0	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D0_Feces_inject	2.7967219036899
188	52	X1P52N2AFD11	11	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D11_Feces_inject	3.7551150288644
189	52	X1P52N2AFD14	14	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D14_Feces_inject	3.76613817871446
190	52	X1P52N2AFD4	4	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D4_Feces_inject	3.51642006879915
191	52	X1P52N2AFD7	7	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D7_Feces_inject	4.16762332046886
192	53	X1P53N2ACD14	14	2A	2	X1	Colon	inject	1212	3	1/31/2016	F	5.5	14	2A	D14_Colon_inject	2.383825304846
